Murder,Year,Location,Theft,Kidnap
8.24809,18.1,0,0.713,99.3
9.51363,18.1,0,0.713,94.1
4.75237,18.1,0,0.713,86.5
4.66883,18.1,0,0.713,87.9
8.20058,18.1,0,0.713,80.3
7.75223,18.1,0,0.713,83.7
6.80117,18.1,0,0.713,84.4
4.81213,18.1,0,0.713,90
3.69311,18.1,0,0.713,88.4
6.65492,18.1,0,0.713,83
5.82115,18.1,0,0.713,89.9
7.83932,18.1,0,0.655,65.4
3.1636,18.1,0,0.655,48.2
3.77498,18.1,0,0.655,84.7
4.42228,18.1,0,0.584,94.5
15.5757,18.1,0,0.58,71
13.0751,18.1,0,0.58,56.7
4.34879,18.1,0,0.58,84
4.03841,18.1,0,0.532,90.7
3.56868,18.1,0,0.58,75
4.64689,18.1,0,0.614,67.6
8.05579,18.1,0,0.584,95.4
6.39312,18.1,0,0.584,97.4
4.87141,18.1,0,0.614,93.6
15.0234,18.1,0,0.614,97.3
10.233,18.1,0,0.614,96.7
14.3337,18.1,0,0.614,88
5.82401,18.1,0,0.532,64.7
5.70818,18.1,0,0.532,74.9
5.73116,18.1,0,0.532,77
2.81838,18.1,0,0.532,40.3
2.37857,18.1,0,0.583,41.9
3.67367,18.1,0,0.583,51.9
5.69175,18.1,0,0.583,79.8
4.83567,18.1,0,0.583,53.2
0.15086,27.74,0,0.609,92.7
0.18337,27.74,0,0.609,98.3
0.20746,27.74,0,0.609,98
0.10574,27.74,0,0.609,98.8
0.11132,27.74,0,0.609,83.5
0.17331,9.69,0,0.585,54
0.27957,9.69,0,0.585,42.6
0.17899,9.69,0,0.585,28.8
0.2896,9.69,0,0.585,72.9
0.26838,9.69,0,0.585,70.6
0.23912,9.69,0,0.585,65.3
0.17783,9.69,0,0.585,73.5
0.177783,9.69,0,0.585,79.7
0.06263,11.93,0,0.573,69.1
0.04527,11.93,0,0.573,76.7
0.06076,11.93,0,0.573,91
0.10959,11.93,0,0.573,89.3
0.04741,11.93,0,0.573,80.8
0.98765,12.5,0,0.561,89
0.23456,12.5,0,0.561,76
0.44433,12.5,0,0.561,98
0.77763,12.7,0,0.561,34
0.65432,12.8,0,0.561,67
